question_id,dataset,census_hops,n_slots,eligible_census,in_v12_frozen,v12_hops,v12_hash_match,exposed,primary_candidate,exclusion_reason
0856e5d4085b11ebbd5cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
085e01bc0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0861ce8a087a11ebbd67ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0864c8b40baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08790c94087511ebbd67ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
087b9501099511ebbdb0ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0880c3740bb011ebab90acde48001122,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
089aff34086111ebbd5dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08b1888a089811ebbd77ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08b4d30e08d511ebbd98ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08cd9d6408ba11ebbd88ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08cfd9c4090111ebbdadac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08dc39f3088611ebbd6dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08e7eb340bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
08fe2b440bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
09028c0e0bda11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0923e15e0bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0926667308d011ebbd95ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0941e98b08b511ebbd88ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
094c02a40bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
094dfa56086311ebbd5eac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
096205a508f711ebbdaaac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0983b07c0bda11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0984e6aa0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0988901808b211ebbd85ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
098d51b20bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
099c20b80bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
09aa4e1a0bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
09b7d46a0bda11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
09c1b6840bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
09e3f8ac0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a12f704085e11ebbd5cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a2d55960bda11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a576b1b08ab11ebbd81ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a59ce0a08b711ebbd88ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a630db408c211ebbd8bac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a6484280bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0a6f4b240bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0aa2a62308e511ebbda4ac1f6bf848b6,2wikimultihop,3,4,True,True,3,True,True,False,deep_hops_not_shallow
0ac9f0ec08ec11ebbda7ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0adc72c408b511ebbd88ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0ade3c6a0baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0ae33a4a0bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0b1244de0bdb11eba7f7acde48001122,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
0b5b03c2089d11ebbd78ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0b67e74308b411ebbd87ac1f6bf848b6,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
0b6d8d0c08da11ebbd9cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0b86c27208c611ebbd90ac1f6bf848b6,2wikimultihop,4,5,True,True,4,True,True,False,deep_hops_not_shallow
0ba11cfd084a11ebbd55ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0ba80d960bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
